datetime;evaluatorName;evaluatorNote;lineupID;totalSelected;visualSelected;cbSelected;bothSelected;visualEntries;cbEntries
2017-03-17 20:02:51;evaluator2;CBRS_vs_VisualRS evaluation; 11400127100602 ;4;4;0;0;2,5,9,15;
2017-03-17 20:04:56;evaluator2;CBRS_vs_VisualRS evaluation; 11020516160613 ;4;4;0;0;2,8,12,16;
2017-03-17 20:05:41;evaluator2;CBRS_vs_VisualRS evaluation; 1010719161804 ;3;2;0;1;3,16;
2017-03-17 20:06:57;evaluator2;CBRS_vs_VisualRS evaluation; 9080719130107 ;3;2;1;0;2,5;1
2017-03-17 20:08:41;evaluator2;CBRS_vs_VisualRS evaluation; 10350228170012 ;3;1;2;0;3;2,20
2017-03-17 20:09:33;evaluator2;CBRS_vs_VisualRS evaluation; 18580109170011 ;5;1;2;2;4;3,5
2017-03-17 20:10:58;evaluator2;CBRS_vs_VisualRS evaluation; 11541231141909 ;3;2;1;0;2,5;6
2017-03-17 20:11:50;evaluator2;CBRS_vs_VisualRS evaluation; 9210822160706 ;3;1;2;0;15;6,7
2017-03-17 20:13:27;evaluator2;CBRS_vs_VisualRS evaluation; 13360622050020 ;3;2;1;0;10,18;10
2017-03-17 20:15:59;evaluator2;CBRS_vs_VisualRS evaluation; 10170223171706 ;3;0;3;0;;2,9,12
2017-03-19 15:11:16;evaluator3;CBRS_vs_VisualRS evaluation; 15231113090113 ;4;1;3;0;16;7,10,16
2017-03-19 15:13:41;evaluator3;CBRS_vs_VisualRS evaluation; 13060228170612 ;4;3;1;0;1,14,20;2
2017-03-19 15:15:40;evaluator3;CBRS_vs_VisualRS evaluation; 15080306171805 ;4;4;0;0;4,7,11,15;
2017-03-19 15:17:55;evaluator3;CBRS_vs_VisualRS evaluation; 8480518040305 ;4;1;3;0;12;2,7,9
2017-03-19 15:19:52;evaluator3;CBRS_vs_VisualRS evaluation; 20211230160407 ;4;2;2;0;1,18;4,16
2017-03-19 15:22:40;evaluator3;CBRS_vs_VisualRS evaluation; 14330309160116 ;5;4;1;0;1,2,8,19;10
2017-03-19 15:24:26;evaluator3;CBRS_vs_VisualRS evaluation; 11180117171805 ;4;2;2;0;4,12;1,8
2017-03-19 15:26:31;evaluator3;CBRS_vs_VisualRS evaluation; 14520302990511 ;4;4;0;0;1,4,5,9;
2017-03-19 15:29:05;evaluator3;CBRS_vs_VisualRS evaluation; 14440602161805 ;4;3;1;0;1,5,9;12
2017-03-19 15:32:10;evaluator3;CBRS_vs_VisualRS evaluation; 9500728151711 ;4;0;4;0;;4,5,7,14
2017-03-19 15:34:20;evaluator3;CBRS_vs_VisualRS evaluation; 12031205160707 ;4;1;3;0;6;2,9,16
2017-03-19 15:35:49;evaluator3;CBRS_vs_VisualRS evaluation; 11321204140014 ;4;2;2;0;3,6;12,16
2017-03-19 15:38:59;evaluator3;CBRS_vs_VisualRS evaluation; 10030930160410 ;5;4;1;0;1,4,9,13;13
2017-03-19 15:49:12;evaluator3;CBRS_vs_VisualRS evaluation; 8510828140704 ;4;2;2;0;11,12;3,7
2017-03-19 15:50:52;evaluator3;CBRS_vs_VisualRS evaluation; 17370616060704 ;4;2;2;0;1,7;9,12
2017-03-19 15:52:01;evaluator3;CBRS_vs_VisualRS evaluation; 10190205080208 ;4;1;3;0;4;8,11,17
2017-03-19 15:53:33;evaluator3;CBRS_vs_VisualRS evaluation; 13270512150406 ;6;4;1;1;1,3,5,19;2
2017-03-19 15:56:22;evaluator3;CBRS_vs_VisualRS evaluation; 13190215170014 ;4;3;1;0;5,7,18;11
2017-03-19 15:57:36;evaluator3;CBRS_vs_VisualRS evaluation; 13581007160707 ;4;1;3;0;2;1,11,13
2017-03-19 15:59:11;evaluator3;CBRS_vs_VisualRS evaluation; 12110307171801 ;3;3;0;0;5,6,13;
2017-03-19 16:00:26;evaluator3;CBRS_vs_VisualRS evaluation; 11400127100602 ;4;4;0;0;1,3,9,20;
2017-03-19 16:03:02;evaluator3;CBRS_vs_VisualRS evaluation; 11020516160613 ;4;3;0;1;4,5,16;
2017-03-19 16:04:49;evaluator3;CBRS_vs_VisualRS evaluation; 1010719161804 ;4;2;2;0;2,5;11,15
2017-03-19 16:06:22;evaluator3;CBRS_vs_VisualRS evaluation; 9080719130107 ;4;4;0;0;2,5,18,20;
2017-03-19 16:07:37;evaluator3;CBRS_vs_VisualRS evaluation; 10350228170012 ;4;3;1;0;3,5,20;8
2017-03-19 16:09:48;evaluator3;CBRS_vs_VisualRS evaluation; 18580109170011 ;5;2;2;1;6,7;7,13
2017-03-19 16:12:36;evaluator3;CBRS_vs_VisualRS evaluation; 11541231141909 ;4;3;1;0;2,5,20;5
2017-03-19 16:14:11;evaluator3;CBRS_vs_VisualRS evaluation; 9210822160706 ;4;3;1;0;1,3,6;11
2017-03-19 16:18:40;evaluator3;CBRS_vs_VisualRS evaluation; 13360622050020 ;4;2;2;0;3,10;11,18
2017-03-19 16:21:00;evaluator3;CBRS_vs_VisualRS evaluation; 10170223171706 ;5;3;2;0;1,13,18;7,9
2017-03-20 14:43:23;evaluator4;CBRS_vs_VisualRS evaluation; 15231113090113 ;3;2;1;0;9,10;7
2017-03-20 14:44:33;evaluator4;CBRS_vs_VisualRS evaluation; 13060228170612 ;4;4;0;0;3,6,11,16;
2017-03-20 14:45:13;evaluator4;CBRS_vs_VisualRS evaluation; 15080306171805 ;4;1;3;0;18;11,12,17
2017-03-20 14:46:12;evaluator4;CBRS_vs_VisualRS evaluation; 8480518040305 ;5;1;4;0;8;2,6,8,9
2017-03-20 14:47:15;evaluator4;CBRS_vs_VisualRS evaluation; 20211230160407 ;6;0;5;1;;4,5,13,16,18
2017-03-20 14:48:28;evaluator4;CBRS_vs_VisualRS evaluation; 14330309160116 ;4;3;1;0;3,13,16;12
2017-03-20 14:49:25;evaluator4;CBRS_vs_VisualRS evaluation; 11180117171805 ;5;3;2;0;6,8,20;7,14
2017-03-20 14:50:18;evaluator4;CBRS_vs_VisualRS evaluation; 14520302990511 ;4;2;2;0;5,8;7,13
2017-03-20 14:51:15;evaluator4;CBRS_vs_VisualRS evaluation; 14440602161805 ;4;3;1;0;7,16,17;10
2017-03-20 14:52:10;evaluator4;CBRS_vs_VisualRS evaluation; 9500728151711 ;6;4;2;0;8,11,13,16;5,12
2017-03-20 14:53:00;evaluator4;CBRS_vs_VisualRS evaluation; 12031205160707 ;5;3;2;0;3,6,14;2,16
2017-03-20 14:54:13;evaluator4;CBRS_vs_VisualRS evaluation; 11321204140014 ;4;4;0;0;2,5,6,13;
2017-03-20 14:55:04;evaluator4;CBRS_vs_VisualRS evaluation; 10030930160410 ;4;3;1;0;1,7,19;9
2017-03-20 14:56:08;evaluator4;CBRS_vs_VisualRS evaluation; 8510828140704 ;4;1;3;0;15;2,7,14
2017-03-20 14:56:56;evaluator4;CBRS_vs_VisualRS evaluation; 17370616060704 ;4;2;1;1;10,18;9
2017-03-20 14:57:58;evaluator4;CBRS_vs_VisualRS evaluation; 10190205080208 ;4;1;3;0;4;9,15,19
2017-03-20 14:59:03;evaluator4;CBRS_vs_VisualRS evaluation; 13270512150406 ;5;3;1;1;1,5,19;2
